,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
intID1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
intID2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
intID3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
intID4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
intID5,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
intID6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
intID7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
intID8,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
intID9,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
intID10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
intID11,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
intID12,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
intID13,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
intID14,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
intID15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
intID16,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
intID17,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
intID18,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
intID19,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
intID20,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
intID21,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
intID22,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
intID23,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
intID24,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
intID25,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
intID26,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
intID27,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
intID28,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
intID29,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
intID30,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
intID31,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
intID32,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
intID33,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
intID34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
intID35,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
intID36,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
intID37,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
intID38,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
intID39,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
intID40,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
intID41,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
intID42,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
intID43,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
intID44,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
intID45,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
intID46,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
intID47,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
intID48,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
intID49,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
intID50,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
intID51,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
intID52,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
intID53,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
intID54,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
intID55,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
intID56,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
intID57,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
intID58,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
intID59,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
intID60,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
intID61,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
