version, 0.000000
codebook_name, C3
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548
name, id, barcode
Blank-1, , 0000000010101100
Blank-2, , 0000110001001000
Blank-3, , 0110000000001010
Blank-4, , 1010000000000110
Blank-5, , 1001010000010000
Blank-6, , 1101000001000000
Blank-7, , 0000011010001000
Blank-8, , 1001100100000000
Blank-9, , 0000000110100010
Blank-10, , 0010000001100010
Blank-11, , 0011000000000101
Blank-12, , 0000000100001110
Blank-13, , 0000010001000101
Blank-14, , 0000101011000000
Blank-15, , 0000001010110000
Blank-16, , 0001010000001001
Blank-17, , 0100001110000000
Blank-18, , 1100100000000001
Blank-19, , 0001000100010100
Blank-20, , 0000010000111000
Blank-21, , 0001000001001100
Blank-22, , 0110100010000000
Blank-23, , 1000000101000001
Blank-24, , 0100100000011000
Blank-25, , 0000010101100000
Blank-26, , 1000001010000010
Blank-27, , 1000010000001010
Blank-28, , 0011010001000000
Blank-29, , 0010001010000100
Blank-30, , 0101000100000001
Blank-31, , 1000000000110010
Blank-32, , 1000000000011001
Blank-33, , 0000111000000010
Blank-34, , 0101000010001000
Blank-35, , 1000000110010000
Blank-36, , 0000000001010110
Blank-37, , 0001100010010000
Blank-38, , 0100110000100000
Blank-39, , 0110000100000100
Blank-40, , 0010101100000000
Blank-41, , 1001000000000011
Blank-42, , 0100010000000110
Blank-43, , 0000011100000001
Blank-44, , 0000000011010001
Blank-45, , 0100101000000100
Blank-46, , 0000100100000011
Blank-47, , 0000001001100001
Blank-48, , 1010000010000001
Blank-49, , 0100000001000011
Blank-50, , 1010100000100000
Blank-51, , 1000011001000000
Blank-52, , 0001000011100000
Blank-53, , 0100001000001001
Blank-54, , 1001000000101000
Blank-55, , 0010000000110100
Blank-56, , 0000010010010100
Blank-57, , 0000101000010001
Blank-58, , 0010001000101000
Blank-59, , 0010100001000100
Blank-60, , 0000001000011100
Blank-61, , 0100000100110000
Blank-62, , 0011000100100000
Blank-63, , 0010010000001100
Blank-64, , 0010010100000010
Blank-65, , 0101100000000010
Blank-66, , 0000100010100001
Blank-67, , 0001000101000010
Blank-68, , 1100001000010000
C1qa, ENSMUST00000046285.6, 1000110010000000
Bgn, ENSMUST00000033741.15, 0000000000101011
S100a4, ENSMUST00000001046.7, 0000110100010000
Wfdc2, ENSMUST00000017867.10, 0100000001101000
Acta2, ENSMUST00000039631.10, 0010000111000000
Arhgap15, ENSMUST00000112822.8, 0001001100001000
Camp, ENSMUST00000112022.5, 1100000000001100
Krt8, ENSMUST00000023952.10, 0000000010000111
C1qb, ENSMUST00000046384.9, 0001000000011010
Ctss, ENSMUST00000015667.9, 0110001001000000
C1qc, ENSMUST00000046332.6, 0000000100100101
Ctsc, ENSMUST00000032779.12, 0010000001001001
Ccl2, ENSMUST00000124479.2, 0101011000000000
Cd53, ENSMUST00000038845.10, 0000100000100110
Tgfb1, ENSMUST00000169009.8, 1000001000000101
Cytip, ENSMUST00000028175.7, 0011000010000010
Mmp12, ENSMUST00000127722.2, 0000001100010010
Ebf1, ENSMUST00000101326.10, 0100010001010000
Arg1, ENSMUST00000020161.10, 0101000000100100
Skap1, ENSMUST00000071510.14, 1000000001100100
Ltf, ENSMUST00000035077.8, 0001101000100000
Lrg1, ENSMUST00000041357.9, 0000010011000010
Serpine2, ENSMUST00000027467.11, 0001110000000100
Ctla4, ENSMUST00000027164.9, 0010100000010010
Rbms3, ENSMUST00000111773.10, 1000100000010100
Crabp1, ENSMUST00000034830.9, 0111000000010000
Tnf, ENSMUST00000025263.15, 0010000100010001
Cdk8, ENSMUST00000162494.8, 0010001000000011
Icam1, ENSMUST00000215003.2, 0001000000110001
Cxcl10, ENSMUST00000201176.2, 1000001100100000
Ccr7, ENSMUST00000103134.4, 1100000010100000
Lef1, ENSMUST00000029611.14, 0100010010000001
Gzmc, ENSMUST00000015585.4, 1110010000000000
Maf, ENSMUST00000069009.7, 0100000000010101
Ly6c1, ENSMUST00000188845.7, 1001000010000100
Prkg1, ENSMUST00000065067.14, 1000101000001000
Chil1, ENSMUST00000153856.8, 0001010110000000
Pdpn, ENSMUST00000030317.14, 0000001101000100
