version, 0.000000
codebook_name, LT1v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730
name,id,barcode
Blank-1,,0000010000110000100000
Blank-2,,0000000000011100010000
Blank-3,,0000001000010001001000
Blank-4,,0011000101000000000000
Blank-5,,0000001010100000001000
Blank-6,,0000000100100000100100
Blank-7,,1000000000000100010100
Blank-8,,0000110110000000000000
Blank-9,,0000010100000100000010
Blank-10,,0011000000010000000001
Blank-11,,0000000110000000010001
Blank-12,,0000001100001000000100
Blank-13,,1001000000100000000001
Blank-14,,0010001001000000001000
Blank-15,,0001000000000001001010
Blank-16,,0000110000000010000010
Blank-17,,0000000010000010101000
Blank-18,,1010000000001000000010
Blank-19,,0000000110000010000100
Blank-20,,0101000000001000010000
Cfl1,ENSMUST00000209469.2,0001010000000010000100
Mecom,ENSMUST00000172754.8,1010100010000000000000
Nlgn1,ENSMUST00000193603.6,0001000000000100001001
Trpm3,ENSMUST00000099569.10,0010100000000010010000
Foxp2,ENSMUST00000154448.2,0000011000101000000000
Sox6,ENSMUST00000206123.2,0100000100000000010100
Sparc,ENSMUST00000214685.2,0001000000100001000100
Tead1,ENSMUST00000069256.12,0000000100001000100010
Tcf7l2,ENSMUST00000111649.8,0000000101010000010000
Nedd8,ENSMUST00000010520.10,0000010001000010100000
Epha5,ENSMUST00000113398.8,1000000010100001000000
Fn1,ENSMUST00000185408.7,0000000001010000001010
Col4a1,ENSMUST00000033898.10,0010000001000100010000
Epha7,ENSMUST00000149030.8,0100000000000011000100
Cd24a,ENSMUST00000058714.10,1000010000000110000000
Dock1,ENSMUST00000084488.5,0000000000010000100011
Krt8,ENSMUST00000023952.10,0000010010100000000001
Ttr,ENSMUST00000075312.5,0101000010000000000001
Fstl1,ENSMUST00000114763.3,0000000000000101010001
Fras1,ENSMUST00000036019.5,0000000000100000001110
Eya1,ENSMUST00000027066.13,0001001000000100000010
Rims2,ENSMUST00000228460.2,0100010000000000110000
Ifitm2,ENSMUST00000081649.10,0000100000000000001011
Nrp1,ENSMUST00000026917.10,0010001000000011000000
Ebf3,ENSMUST00000209864.2,1100000001000000000100
Igfbp2,ENSMUST00000047328.11,0000010001010001000000
Tead2,ENSMUST00000097216.5,0000000010001000001001
Cldn6,ENSMUST00000024699.4,0100000000001000100001
Ntn1,ENSMUST00000021284.4,0001100000000000100001
Dnmt3b,ENSMUST00000056495.14,0000011010000000010000
Afp,ENSMUST00000042755.7,1000010000001000000100
Pax3,ENSMUST00000004994.16,1000000001010100000000
Ptprn2,ENSMUST00000185505.7,0000101010000000000010
Dpp6,ENSMUST00000149678.2,0000010100010010000000
Col18a1,ENSMUST00000156009.2,1101000000000000100000
Drg1,ENSMUST00000020741.12,0010000000000001001001
Ap3b1,ENSMUST00000022196.5,0010010000000010000001
Stxbp6,ENSMUST00000053768.14,0100001001000000010000
Lgmn,ENSMUST00000021607.9,1000000100000010000001
Yap1,ENSMUST00000086580.12,0001001000000000101000
Adamts9,ENSMUST00000167391.2,0000010011000000001000
Epcam,ENSMUST00000234623.2,0001011000000001000000
Fstl5,ENSMUST00000191664.2,0000000010010100001000
Abcf1,ENSMUST00000043757.15,0010000000100010001000
Ckap4,ENSMUST00000053871.5,1000100100000000000100
Nbeal1,ENSMUST00000160834.8,1001000100010000000000
Nrcam,ENSMUST00000220082.2,0010000001000000000110
Fhod3,ENSMUST00000234834.2,0000100100001010000000
Tspan18,ENSMUST00000152141.2,0000100000100000011000
Fry,ENSMUST00000201628.2,0000001001100000000010
Fgfr1,ENSMUST00000167764.2,0001101000100000000000
Lama1,ENSMUST00000233224.2,0011000000000110000000
Fli1,ENSMUST00000016231.14,0100000000001101000000
Ddt,ENSMUST00000001716.8,0000000010100010010000
Rnf217,ENSMUST00000081989.8,1000000000010001000100
Prrx1,ENSMUST00000174397.3,0001000100000010100000
Pou5f1,ENSMUST00000025271.17,0001001001010000000000
Sfrp1,ENSMUST00000033952.8,1000000010011000000000
P3h2,ENSMUST00000159161.2,0000000010000001100001
Pmp22,ENSMUST00000018361.10,1001100000000100000000
Msx1,ENSMUST00000063116.10,0000101000000100001000
Gata4,ENSMUST00000121312.2,0000010001000100000001
Rgl1,ENSMUST00000027760.14,0000000110000000001010
Etv5,ENSMUST00000079601.13,0000000101000100001000
Mt2,ENSMUST00000034214.8,0000000011000000000011
Rfx4,ENSMUST00000095388.5,0010010000100001000000
Hand1,ENSMUST00000036917.3,1110000000000000000001
Spata13,ENSMUST00000162945.2,0000001000001000000011
Mycn,ENSMUST00000130990.2,0010000000001001010000
Pdlim1,ENSMUST00000182540.2,0000000011000110000000
Exosc5,ENSMUST00000079634.8,1001000000000000001100
Snca,ENSMUST00000114268.5,0000101000011000000000
Ctsh,ENSMUST00000034915.15,0011001010000000000000
Crnkl1,ENSMUST00000001818.5,0000010010000001000010
Tnnt2,ENSMUST00000191055.2,0001000000110000000010
Pax2,ENSMUST00000004340.12,0000000001011000100000
Fst,ENSMUST00000231252.2,0000010000000001001100
Grhl2,ENSMUST00000161532.2,0000000010001011000000
T,ENSMUST00000177118.2,0010001100000000010000
Tyr,ENSMUST00000004770.7,0100001010000001000000
Runx1,ENSMUST00000168195.8,0001000000100000110000
Bcar3,ENSMUST00000029766.9,0100000000100001000001
Otx2,ENSMUST00000118578.9,0000010001001000000010
Psme2,ENSMUST00000161807.8,0101000100000100000000
Wfdc2,ENSMUST00000017867.10,0000000001100100100000
Sema3e,ENSMUST00000073957.8,0000100000000110000100
Anxa5,ENSMUST00000029266.14,0100000001010000000001
Kdr,ENSMUST00000113516.2,0000001100000000100001
Unc79,ENSMUST00000179039.2,0000001000001001100000
Lmx1a,ENSMUST00000111377.8,1000000000110000001000
Utf1,ENSMUST00000168457.3,0000000001101000010000
Fgf8,ENSMUST00000111928.8,0001100001000010000000
Lats1,ENSMUST00000165952.9,0010000010000010000010
Nr5a2,ENSMUST00000192929.6,0000000000110110000000
Gata6,ENSMUST00000047762.10,0000100100000100010000
Lifr,ENSMUST00000226826.2,0010100000000100100000
Dazl,ENSMUST00000010736.9,0000000000000100100110
Sim1,ENSMUST00000020071.4,0100010000100000000100
Lats2,ENSMUST00000022531.14,0100001000001000001000
Lrp8,ENSMUST00000030356.10,0000000000011010000100
Npm2,ENSMUST00000062629.5,0100000000000001100010
Isl1,ENSMUST00000036060.13,0000000100011000000001
Homer2,ENSMUST00000207983.2,0001000001000000100100
Bcam,ENSMUST00000003061.14,1100001000000100000000
Hoxb3,ENSMUST00000093944.10,0000011000000010001000
Cdx2,ENSMUST00000031650.4,0001000010001000000010
Bmp4,ENSMUST00000074077.12,0000100000010001000001
Prkcz,ENSMUST00000030922.15,0110000000011000000000
Sox17,ENSMUST00000191939.2,0001010000000000010001
Trp63,ENSMUST00000115305.2,0010010000001100000000
Fabp3,ENSMUST00000070532.8,0010000000000000101010
Ifitm3,ENSMUST00000026565.7,0000001000000000011100
Cer1,ENSMUST00000048430.4,0000000000000001010110
Slc39a8,ENSMUST00000180196.8,0000000100000101100000
Cdx1,ENSMUST00000025521.9,0100000010000100100000
Trp53i11,ENSMUST00000090554.11,0001010000011000000000
Rgs19,ENSMUST00000002532.9,1000000000001010001000
Lix1,ENSMUST00000115576.3,0010010000010000010000
Gata3,ENSMUST00000102976.4,0010100100000000000001
Clic6,ENSMUST00000023670.4,0000100100000001001000
Sox9,ENSMUST00000000579.3,0000000000100011100000
Gjb3,ENSMUST00000106091.9,1000100000100010000000
Postn,ENSMUST00000117373.8,0000100010001000100000
Aldh1a2,ENSMUST00000034723.6,0001000110100000000000
Cpm,ENSMUST00000141991.2,0100000000000001011000
Neb,ENSMUST00000136769.2,0100010010000010000000
Lmx1b,ENSMUST00000176067.2,0000001000100101000000
Wnt6,ENSMUST00000006716.8,0010000011100000000000
Mesp1,ENSMUST00000032760.6,0100100100000000000010
Fap,ENSMUST00000172676.8,0000000000001000011010
Tfap2a,ENSMUST00000021787.7,0000101000000001010000
Trap1a,ENSMUST00000054534.4,0000100100110000000000
Trpm1,ENSMUST00000206740.2,1000010000000001100000
Tead4,ENSMUST00000006311.13,1000001001000010000000
Uap1l1,ENSMUST00000102925.4,0000100000100000100010
Eomes,ENSMUST00000035020.15,0000100101000000100000
Etv2,ENSMUST00000108147.3,0000000010000000110100
Tfap2c,ENSMUST00000170744.2,0000001010000000000101
Hsd11b2,ENSMUST00000034363.7,0100000000100100001000
Hoxa1,ENSMUST00000000964.6,1100000000000010000010
Inka1,ENSMUST00000048568.6,0110010001000000000000
Foxa2,ENSMUST00000109964.8,0000001110010000000000
Pitx1,ENSMUST00000021968.7,0001000000001000000101
Tead3,ENSMUST00000114799.8,0100010000000000001001
Cdh5,ENSMUST00000034339.10,0001010000100000001000
Pitx2,ENSMUST00000106382.11,1011000000000000010000
Apoa2,ENSMUST00000111319.2,0010100000000001000010
Itga2b,ENSMUST00000134735.2,1000000000000000000111
Zic4,ENSMUST00000174802.2,0000001000010000100100
Klf2,ENSMUST00000067912.8,0000010001000000010100
Lefty2,ENSMUST00000085797.6,0000001000000100110000
Gadd45a,ENSMUST00000043098.9,0000000001000001000101
Hes7,ENSMUST00000024543.3,0000100000001100000001
Pcsk1n,ENSMUST00000041096.4,1000000000000010110000
Dll1,ENSMUST00000014917.8,0110101000000000000000
Nanog,ENSMUST00000012540.5,0010100000010000000100
Nme5,ENSMUST00000134875.8,0000001101000001000000
Otx1,ENSMUST00000006071.14,0000000000101000101000
Nrros,ENSMUST00000115163.4,0000000010010000000110
Fcgrt,ENSMUST00000211535.2,0000000100010000001100
Tbx4,ENSMUST00000108045.3,0100000000000110010000
Gbx2,ENSMUST00000187633.2,0010000100001000001000
Dock2,ENSMUST00000093193.12,1000110001000000000000
Entpd1,ENSMUST00000134063.8,0000001000000010000110
Lefty1,ENSMUST00000037361.9,1100000010000000001000
Nodal,ENSMUST00000049339.7,1000000100001100000000
Lhx8,ENSMUST00000177846.8,0000000000010010010010
Ppp1r1c,ENSMUST00000040863.11,0011010000000000100000
Rasl11b,ENSMUST00000051937.9,0100000010010000010000
Sox21,ENSMUST00000170662.2,1000000100000001010000
Hes3,ENSMUST00000094438.2,0001000001001000001000
Gsc,ENSMUST00000021513.6,0001000100001001000000
Osr1,ENSMUST00000057021.9,0100000000100000010010
Fgf4,ENSMUST00000060336.5,1000000000001000010001
Foxc2,ENSMUST00000054691.8,1000010000100000010000
Chat,ENSMUST00000070125.6,0000000001000000110001
Dnd1,ENSMUST00000061522.8,0010000000000100001100
Gp9,ENSMUST00000032133.5,0000100001000000001100
Dlx1,ENSMUST00000145088.2,1000100000010000000010
Cebpa,ENSMUST00000205391.2,0000000100100100000001
Zscan4d,ENSMUST00000067210.12,0001000100000000000110
Plscr1l1,ENSMUST00000126606.8,0000000000101010000010
Prl2c2,ENSMUST00000220558.2,0100100000010100000000
Dbi,ENSMUST00000027634.13,0000000000000010100101
Oca2,ENSMUST00000155533.2,1000000111000000000000
Cryab,ENSMUST00000216755.2,1010000000010010000000
Padi6,ENSMUST00000038749.11,0010000100010000000010
Rdx,ENSMUST00000061352.11,0100100010100000000000
Arhgdia,ENSMUST00000106197.10,1010011000000000000000
Atp5pf,ENSMUST00000023608.14,0111000000000001000000
Phb1,ENSMUST00000125172.8,0010000000100000000101
Hspe1,ENSMUST00000075242.7,0001010010000100000000
