version, 0.000000
codebook_name, LT2v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0763, RS0793, RS0805, RS0820
name, id, barcode
Blank-1, , 00100000000001000000000110
Blank-2, , 00100001010010000000000000
Blank-3, , 00000100010000000000100010
Blank-4, , 10000000001000000001000001
Blank-5, , 01000010001001000000000000
Blank-6, , 01000010000000000001100000
Blank-7, , 00100001000000000010000100
Blank-8, , 00000000000100010100010000
Blank-9, , 01000000000100000010000010
Blank-10, , 10001000000000000100010000
Blank-11, , 00011000000000001000000100
Blank-12, , 00000000000010010000011000
Blank-13, , 00010000010000000001000001
Blank-14, , 00000000001000010001001000
Blank-15, , 00000000011000000000100100
Blank-16, , 00000000100100000110000000
Blank-17, , 00100000100000000010000010
Blank-18, , 00010100001010000000000000
Blank-19, , 10000000001000000010000010
Blank-20, , 00000000110000000000110000
Blank-21, , 00010000000100000100000001
Blank-22, , 00000100000000100010000001
Blank-23, , 01000000010000000100000001
Blank-24, , 00000000000100100001001000
Blank-25, , 01001000100001000000000000
Blank-26, , 11000000000000000000110000
Blank-27, , 00010010000000000010000100
Blank-28, , 00000000110000110000000000
Blank-29, , 00000101000010100000000000
Blank-30, , 00000000001100000011000000
Blank-31, , 00000000100001000100100000
Blank-32, , 00100000000010000000000101
Blank-33, , 00100000001000000100000001
Blank-34, , 01000001010000010000000000
Blank-35, , 01000000100000001000000001
Blank-36, , 01000000100000000100000010
Blank-37, , 00000000010000100100001000
Blank-38, , 01100000100100000000000000
Blank-39, , 00000000000000001001011000
Blank-40, , 01010000000000000101000000
Blank-41, , 00100100100000010000000000
Blank-42, , 00000000100010001000100000
Blank-43, , 01000000000000010000001010
Blank-44, , 00000001010000000000001010
Blank-45, , 00011000000000000010010000
Blank-46, , 10000010000000000100000100
Blank-47, , 01000100001000100000000000
Blank-48, , 11001100000000000000000000
Blank-49, , 00000000011001100000000000
Blank-50, , 00001000001000000000000101
Krt8, ENSMUST00000023952.10, 00000001000000010100000001
Isl1, ENSMUST00000036060.13, 00001100000000110000000000
Hoxa5, ENSMUST00000048794.7, 11000000000000000000001100
Tspan18, ENSMUST00000111265.9, 00000000000100010001000100
Mesp1, ENSMUST00000032760.6, 00000000110011000000000000
Hes3, ENSMUST00000094438.2, 10100000000000000000101000
Sox6, ENSMUST00000206034.2, 00110000000000000000001100
Neb, ENSMUST00000238749.2, 01001000000000001000010000
Fap, ENSMUST00000102732.10, 01000000000000010000000101
Upk3b, ENSMUST00000062606.8, 00000000000010100101000000
Gbx2, ENSMUST00000036954.9, 01000100100010000000000000
Hbb-bt, ENSMUST00000098192.4, 00000000101000000000101000
Mef2c, ENSMUST00000005722.14, 00110000001100000000000000
Hes7, ENSMUST00000024543.3, 10000000000000010000000110
Sema3e, ENSMUST00000130116.2, 00000000011000000000011000
Fcgrt, ENSMUST00000003512.9, 01000010000110000000000000
Irx3, ENSMUST00000175795.4, 00010100100000100000000000
Anxa5, ENSMUST00000029266.14, 00000000001100001100000000
Nodal, ENSMUST00000049339.7, 00000000101000000000010100
P3h2, ENSMUST00000039990.6, 00000000000000000110100100
Kif26b, ENSMUST00000161017.8, 00010000000000100000010010
Otx1, ENSMUST00000172395.3, 00000000000001010000010100
Flt4, ENSMUST00000152253.2, 00000000000001100000100100
