imaging_round,series,hal_config,data_dir
1,hal-mf3-epi_01_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
1,hal-mf3-epi-cells_{fov:03d},hal-config-mf3-cells-405f24-488f2.xml,G:\sample_01\data\cells
2,hal-mf3-epi_02_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
3,hal-mf3-epi_03_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
4,hal-mf3-epi_04_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
5,hal-mf3-epi_05_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
6,hal-mf3-epi_06_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
7,hal-mf3-epi_07_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
8,hal-mf3-epi_08_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
9,hal-mf3-epi_09_{fov:03d},hal-config-mf3-bits-blkf4-488f2-560f24-650f24-750f24.xml,G:\sample_01\data
